country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
China,1850,CHN,409821554.0,353496000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,194.75955200195312,,,,,,,,,0.2489272952079773,1.0333645343780518,194.75955200195312,0.4752301275730133,253.09622192382812,0.6175766587257385,5.886785507202148,0.0143642658367753,,,,,,,,,,,,,,,,7.176048278808594,,,,,7.176048278808594,,,,,,,,423.49505615234375,102.0157699584961,,
China,1851,CHN,407570489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,385.66168212890625,,,,,,,,,0.2483180314302444,1.0258986949920654,190.90216064453125,0.4683905243873596,250.93443298339844,0.6156835556030273,5.978452205657959,0.0146685102954506,,,,,,,,,,,,,,,,6.967956066131592,,,,,6.767739295959473,,,5.640684604644775,3.0406774385483004e-05,7.25987265468575e-05,0.0001056977562257,2.692261432457599e-06,418.12603759765625,101.20710754394533,,
China,1852,CHN,404611476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,570.04541015625,,,,,,,,,0.2481437921524047,1.0134916305541992,184.38372802734375,0.4557056427001953,248.77639770507812,0.6148525476455688,6.068493366241455,0.0149983223527669,,,,,,,,,,,,,,,,6.744391918182373,,,,,6.320247173309326,,,5.380816459655762,5.62813293072395e-05,0.0001425010268576,0.0002042074193013,5.42507086720434e-06,410.07037353515625,100.40182495117188,,
China,1853,CHN,400951224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,746.3385620117188,,,,,,,,,0.2484084963798523,0.9993237257003784,176.29310607910156,0.4396871626377105,246.6220245361328,0.6150923371315002,6.155907154083252,0.0153532559052109,,,,,,,,,,,,,,,,6.553963661193848,,,,,6.0056586265563965,,,5.14689302444458,7.763122266624123e-05,0.0002091054193442,0.0002949338813778,8.197244824259542e-06,400.6800537109375,99.59968566894533,,
China,1854,CHN,397324067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,918.0093994140624,,,,,,,,,0.2486646622419357,0.9936856031417848,171.67086791992188,0.4320676326751709,244.47134399414065,0.6152945756912231,6.239686012268066,0.0157042741775512,,,,,,,,,,,,,,,,6.391421794891357,,,,,5.769365310668945,,,4.92068338394165,9.446393232792616e-05,0.0002739994961302,0.0003794705844484,1.100714780477574e-05,394.815185546875,98.80045318603516,,
China,1855,CHN,393729705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.0518798828125,,,,,,,,,0.2489115744829177,0.9849997162818908,166.04244995117188,0.4217168390750885,242.32427978515625,0.6154584884643555,6.318827152252197,0.0160486418753862,,,,,,,,,,,,,,,,6.2334184646606445,,,,,5.4838948249816895,,,4.705657958984375,0.000106786879769,0.0003366763121448,0.0004573158803395,1.3852689335180912e-05,387.8236389160156,98.0038833618164,,
China,1856,CHN,390167842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.227294921875,,,,,,,,,0.2491485029458999,0.975566565990448,160.17547607421875,0.4105296730995178,240.18081665039065,0.6155833601951599,6.392324924468994,0.0163835249841213,,,,,,,,,,,,,,,,6.0887556076049805,,,,,5.262234687805176,,,4.500984191894531,0.0001146074137068,0.0003970479010604,0.0005283866776153,1.6731328287278302e-05,380.6346740722656,97.20972442626952,,
China,1857,CHN,386638184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.6649169921875,,,,,,,,,0.2493746131658554,0.9713655710220336,156.43760681152344,0.4046097993850708,238.0409393310547,0.6156684756278992,6.459174633026123,0.0167059917002916,,,,,,,,,,,,,,,,5.953557014465332,,,,,5.059948921203613,,,4.307423114776611,0.0001179328319267,0.0004560709348879,0.000593643868342,1.964007242349908e-05,375.5670166015625,96.4177474975586,,
China,1858,CHN,383140440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1551.048583984375,,,,,,,,,0.2495891451835632,0.9608758091926576,150.38360595703125,0.3925025463104248,235.90457153320312,0.6157130599021912,6.51837158203125,0.017013007774949,,,,,,,,,,,,,,,,5.822485446929932,,,,,4.831723690032959,,,4.118306636810303,0.0001167703449027,0.0005126894684508,0.000652035290841,2.2575473849428818e-05,368.150390625,95.62769317626952,,
China,1859,CHN,379951320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.305908203125,,,,,,,,,0.2496091723442077,0.9544105529785156,146.25730895996094,0.3849369883537292,233.7717132568359,0.6152675747871399,6.568910121917725,0.0172888189554214,,,,,,,,,,,,,,,,5.696640968322754,,,,,4.634389877319336,,,3.932091236114502,0.0001111271194531,0.000567759561818,0.0007044202648103,2.5533636289765127e-05,362.6295471191406,94.8393325805664,,
